Datetime,ms,Level(m),Temp(C)
2022-12-06 23:30:24,0,0.17,4.7
2022-12-06 23:45:24,0,0.168,4.7
2022-12-07 00:00:24,0,0.171,4.8
2022-12-07 00:15:24,0,0.168,4.8
2022-12-07 00:30:24,0,0.169,4.8
2022-12-07 00:45:24,0,0.169,4.8
2022-12-07 01:00:24,0,0.168,4.8
2022-12-07 01:15:24,0,0.168,4.9
2022-12-07 01:30:24,0,0.17,4.9
2022-12-07 01:45:24,0,0.168,4.9
2022-12-07 02:00:24,0,0.167,4.9
2022-12-07 02:15:24,0,0.167,5.0
2022-12-07 02:30:24,0,0.168,5.0
2022-12-07 02:45:24,0,0.168,5.0
2022-12-07 03:00:24,0,0.168,5.0
2022-12-07 03:15:24,0,0.166,5.0
2022-12-07 03:30:24,0,0.166,5.0
2022-12-07 03:45:24,0,0.167,5.1
2022-12-07 04:00:24,0,0.166,5.1
2022-12-07 04:15:24,0,0.167,5.1
2022-12-07 04:30:24,0,0.168,5.1
2022-12-07 04:45:24,0,0.168,5.1
2022-12-07 05:00:24,0,0.167,5.1
2022-12-07 05:15:24,0,0.166,5.1
2022-12-07 05:30:24,0,0.165,5.1
2022-12-07 05:45:24,0,0.164,5.1
2022-12-07 06:00:24,0,0.166,5.2
2022-12-07 06:15:24,0,0.164,5.1
2022-12-07 06:30:24,0,0.164,5.1
2022-12-07 06:45:24,0,0.162,5.1
2022-12-07 07:00:24,0,0.165,5.2
2022-12-07 07:15:24,0,0.164,5.2
2022-12-07 07:30:24,0,0.162,5.2
2022-12-07 07:45:24,0,0.162,5.2
2022-12-07 08:00:24,0,0.16,5.2
2022-12-07 08:15:24,0,0.158,5.2
2022-12-07 08:30:24,0,0.16,5.2
2022-12-07 08:45:24,0,0.158,5.2
2022-12-07 09:00:24,0,0.157,5.2
2022-12-07 09:15:24,0,0.157,5.2
2022-12-07 09:30:24,0,0.158,5.2
2022-12-07 09:45:24,0,0.155,5.2
2022-12-07 10:00:24,0,0.156,5.2
2022-12-07 10:15:24,0,0.158,5.3
2022-12-07 10:30:24,0,0.155,5.3
2022-12-07 10:45:24,0,0.153,5.3
2022-12-07 11:00:24,0,0.154,5.3
2022-12-07 11:15:24,0,0.152,5.3
2022-12-07 11:30:24,0,0.153,5.3
2022-12-07 11:45:24,0,0.153,5.3
2022-12-07 12:00:24,0,0.155,5.4
2022-12-07 12:15:24,0,0.153,5.4
2022-12-07 12:30:24,0,0.151,5.4
2022-12-07 12:45:24,0,0.153,5.5
2022-12-07 13:00:24,0,0.152,5.5
2022-12-07 13:15:24,0,0.152,5.5
2022-12-07 13:30:24,0,0.151,5.5
2022-12-07 13:45:24,0,0.151,5.6
2022-12-07 14:00:24,0,0.149,5.6
2022-12-07 14:15:24,0,0.152,5.7
2022-12-07 14:30:24,0,0.149,5.7
2022-12-07 14:45:24,0,0.146,5.7
2022-12-07 15:00:24,0,0.148,5.8
2022-12-07 15:15:24,0,0.147,5.9
2022-12-07 15:30:24,0,0.146,5.9
2022-12-07 15:45:24,0,0.148,6.0
