Datetime,ms_x,Level(m),Temp(C)_x
2023-04-01 16:15:07,0,0.1962874988000003,7.2
2023-04-01 16:30:07,0,0.19596321159999874,7.2
2023-04-01 16:45:07,0,0.19481497439999984,7.2
2023-04-01 17:00:07,0,0.19344037559999983,7.2
2023-04-01 17:15:07,0,0.19620786319999972,7.2
2023-04-01 17:30:07,0,0.1950576028000004,7.2
2023-04-01 17:45:07,0,0.1938869479999994,7.2
2023-04-01 18:00:07,0,0.1942356759999999,7.2
2023-04-01 18:15:07,0,0.19317719040000014,7.2
2023-04-01 18:30:07,0,0.19180259160000013,7.2
2023-04-01 18:45:07,0,0.19126416319999784,7.2
2023-04-01 19:00:07,0,0.19297114199999932,7.2
2023-04-01 19:15:07,0,0.19054420839999864,7.1
2023-04-01 19:30:07,0,0.1890656143999987,7.1
2023-04-01 19:45:07,0,0.19075017559999807,7.1
2023-04-01 20:00:07,0,0.18804791759999873,7.1
2023-04-01 20:15:07,0,0.19068284159999926,7.1
2023-04-01 20:30:07,0,0.18996903759999917,7.1
2023-04-01 20:45:07,0,0.18998328119999996,7.1
2023-04-01 21:00:07,0,0.18900434999999938,7.1
2023-04-01 21:15:07,0,0.18714845959999948,7.1
2023-04-01 21:30:07,0,0.18656924239999917,7.1
2023-04-01 21:45:07,0,0.18788872760000075,7.1
2023-04-01 22:00:07,0,0.1861042176000005,7.1
2023-04-01 22:15:07,0,0.1859736771999998,7.1
2023-04-01 22:30:07,0,0.18757666080000135,7.1
2023-04-01 22:45:07,0,0.18663649519999836,7.1
2023-04-01 23:00:07,0,0.18275953599999895,7.0
2023-04-01 23:15:07,0,0.18258618359999979,7.0
2023-04-01 23:30:07,0,0.18606545199999935,7.0
2023-04-01 23:45:07,0,0.18351412879999884,7.0
2023-04-02 00:00:07,0,0.18531085919999946,7.0
2023-04-02 00:15:07,0,0.1849539571999994,7.0
2023-04-02 00:30:07,0,0.18518849280000005,7.0
2023-04-02 00:45:07,0,0.18345496879999956,7.0
2023-04-02 01:00:07,0,0.18603688359999992,7.0
2023-04-02 01:15:07,0,0.18486420560000028,7.0
2023-04-02 01:30:07,0,0.1834447715999996,7.0
2023-04-02 01:45:07,0,0.18333260240000016,7.0
2023-04-02 02:00:07,0,0.18255761520000036,7.0
2023-04-02 02:15:07,0,0.1804039827999997,6.9
2023-04-02 02:30:07,0,0.18180302240000046,6.9
2023-04-02 02:45:07,0,0.18037541440000027,6.9
2023-04-02 03:00:07,0,0.18019186479999938,6.9
2023-04-02 03:15:07,0,0.17946786359999933,6.8
2023-04-02 03:30:07,0,0.1773856116000001,6.8
2023-04-02 03:45:07,0,0.17783631160000013,6.8
2023-04-02 04:00:07,0,0.17657185880000092,6.7
2023-04-02 04:15:07,0,0.17652289599999982,6.7
2023-04-02 04:30:07,0,0.17760582240000033,6.7
2023-04-02 04:45:07,0,0.1774120755999995,6.7
2023-04-02 05:00:07,0,0.17584988079999953,6.7
2023-04-02 05:15:07,0,0.17504227879999945,6.7
2023-04-02 05:30:07,0,0.17683900920000006,6.7
2023-04-02 05:45:07,0,0.17416531960000015,6.6
2023-04-02 06:00:07,0,0.17524824600000066,6.6
2023-04-02 06:15:07,0,0.17602323320000046,6.6
2023-04-02 06:30:07,0,0.17396339879999978,6.6
2023-04-02 06:45:07,0,0.1742591176000019,6.6
2023-04-02 07:00:07,0,0.1730742192000001,6.6
2023-04-02 07:15:07,0,0.17474656000000088,6.6
2023-04-02 07:30:07,0,0.17417349359999967,6.6
2023-04-02 07:45:07,0,0.17527276799999925,6.6
2023-04-02 08:00:07,0,0.17582341680000013,6.6
2023-04-02 08:15:07,0,0.17986353120000054,6.7
2023-04-02 08:30:07,0,0.1782707448000007,6.7
2023-04-02 08:45:07,0,0.17897435159999908,6.7
2023-04-02 09:00:07,0,0.1822598731999996,6.8
2023-04-02 09:15:07,0,0.18115655239999917,6.8
2023-04-02 09:30:07,0,0.1793781931999998,6.8
2023-04-02 09:45:07,0,0.1815196052000001,6.8
2023-04-02 10:00:07,0,0.18286765879999933,6.9
2023-04-02 10:15:07,0,0.1821252863999998,6.9
2023-04-02 10:30:07,0,0.18199069960000003,6.9
2023-04-02 10:45:07,0,0.18285746159999938,6.9
2023-04-02 11:00:07,0,0.18326534959999918,6.9
2023-04-02 11:15:07,0,0.1848846811999998,7.0
2023-04-02 11:30:07,0,0.1832796743999996,7.0
2023-04-02 11:45:07,0,0.18159511319999844,7.0
2023-04-02 12:00:07,0,0.1827555707999977,7.0
2023-04-02 12:15:07,0,0.18320222439999867,7.0
2023-04-02 12:30:07,0,0.18538442520000054,7.1
2023-04-02 12:45:07,0,0.18458702039999864,7.1
2023-04-02 13:00:07,0,0.1846380063999984,7.1
2023-04-02 13:15:07,0,0.18615738919999814,7.1
2023-04-02 13:30:07,0,0.1851968291999988,7.1
2023-04-02 13:45:07,0,0.18694872439999877,7.2
2023-04-02 14:00:07,0,0.18691610960000204,7.2
2023-04-02 14:15:07,0,0.18692226039999937,7.2
2023-04-02 14:30:07,0,0.1879093655999995,7.2
2023-04-02 14:45:07,0,0.18588627359999776,7.2
2023-04-02 15:00:07,0,0.18726087239999956,7.3
2023-04-02 15:15:07,0,0.1881867943999982,7.3
2023-04-02 15:30:07,0,0.19040776079999944,7.3
2023-04-02 15:45:07,0,0.18878235959999934,7.3
2023-04-02 16:00:07,0,0.1910237203999987,7.3
2023-04-02 16:15:07,0,0.18914338919999985,7.3
2023-04-02 16:30:07,0,0.1900387196000004,7.3
2023-04-02 16:45:07,0,0.1928327523999993,7.3
2023-04-02 17:00:07,0,0.193860646400001,7.4
2023-04-02 17:15:07,0,0.1939830128000004,7.4
2023-04-02 17:30:07,0,0.19417473640000082,7.4
2023-04-02 17:45:07,0,0.19464995839999943,7.4
2023-04-02 18:00:07,0,0.19534134480000098,7.4
2023-04-02 18:15:07,0,0.19618973560000086,7.4
2023-04-02 18:30:07,0,0.1934854543999993,7.4
2023-04-02 18:45:07,0,0.1956676551999994,7.4
2023-04-02 19:00:07,0,0.19359560040000012,7.4
2023-04-02 19:15:07,0,0.19354866079999944,7.4
2023-04-02 19:30:07,0,0.19176617399999962,7.4
2023-04-02 19:45:07,0,0.19085862320000047,7.4
2023-04-02 20:00:07,0,0.19108296159999938,7.4
2023-04-02 20:15:07,0,0.19037935479999923,7.4
2023-04-02 20:30:07,0,0.18979811440000027,7.4
2023-04-02 20:45:07,0,0.19048132680000052,7.4
2023-04-02 21:00:07,0,0.19011422760000052,7.4
2023-04-02 21:15:07,0,0.18953298719999978,7.4
2023-04-02 21:30:07,0,0.18705304439999892,7.4
2023-04-02 21:45:07,0,0.1879096092000001,7.4
